ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,market_cap_m,mcap_band,near_52w_low,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_7d_date,outcome_10d_date,outcome_30d_date,delisted_or_acquired,notes,iwm_30d,alpha_30d,alpha_win,year
SSP,E.W. Scripps Co,2018-12-07,2018-11-23,2018-12-06,2661859,3,986.6,$500M-$5B,False,False,12.019837379455566,-1.22,-3.88,2.96,2018-12-14,2018-12-17,2019-01-07,False,,-2.7516,5.7116,True,2018
ENR,"Energizer Holdings, Inc.",2018-12-10,2018-12-03,2018-12-06,916400,2,2165.2,$500M-$5B,True,False,37.40797424316406,-1.18,-6.9,-0.83,2018-12-17,2018-12-20,2019-01-09,False,,-0.1544,-0.6756,False,2018
CASH,Meta Financial Group Inc,2018-12-10,2018-12-06,2018-12-07,533700,2,793.6,$500M-$5B,True,False,19.577880859375,-2.27,-5.57,2.66,2018-12-17,2018-12-20,2019-01-09,False,,-0.1544,2.8144,True,2018
SSP,E.W. Scripps Co,2018-12-11,2018-11-27,2018-12-11,2595276,3,990.7,$500M-$5B,False,False,12.41880702972412,-6.56,-11.25,4.04,2018-12-18,2018-12-21,2019-01-10,False,,0.4675,3.5725,True,2018
SSP,E.W. Scripps Co,2018-12-12,2018-11-28,2018-12-12,2550984,3,1001.9,$500M-$5B,False,False,12.105971336364746,-5.41,-9.86,9.38,2018-12-19,2018-12-24,2019-01-11,False,,-0.4552,9.8352,True,2018
LOB,"Live Oak Bancshares, Inc.",2018-12-13,2018-12-12,2018-12-12,5675167,2,592.2,$500M-$5B,True,False,14.409754753112791,-5.93,-4.78,4.65,2018-12-20,2018-12-24,2019-01-14,False,,-0.0308,4.6808000000000005,True,2018
TROX,Tronox Ltd,2018-12-13,2018-12-10,2018-12-11,330316,2,740.8,$500M-$5B,True,False,5.816080093383789,-2.54,-4.54,22.3,2018-12-20,2018-12-24,2019-01-14,False,,-0.0308,22.3308,True,2018
UNFI,United Natural Foods Inc,2018-12-13,2018-12-12,2018-12-12,466859,2,588.9,$500M-$5B,True,False,10.9399995803833,-8.04,-11.24,21.12,2018-12-20,2018-12-24,2019-01-14,False,,-0.0308,21.1508,True,2018
SSP,E.W. Scripps Co,2018-12-14,2018-11-29,2018-12-13,2772560,3,957.8,$500M-$5B,False,False,11.553053855895996,-4.6,-5.54,15.18,2018-12-21,2018-12-24,2019-01-14,False,,1.5049,13.6751,True,2018
PWR,Quanta Services Inc,2018-12-19,2018-12-18,2018-12-19,998923,2,4102.3,$500M-$5B,True,False,28.087242126464844,3.98,5.24,17.13,2018-12-26,2018-12-31,2019-01-18,False,,9.9478,7.182199999999998,True,2018
KOP,Koppers Holdings Inc.,2018-12-19,2018-12-13,2018-12-18,273200,2,351.8,$200M-$500M,True,False,16.631860733032227,-2.15,-0.93,25.29,2018-12-26,2018-12-31,2019-01-18,False,,9.9478,15.342199999999998,True,2018
SSP,E.W. Scripps Co,2018-12-21,2018-12-06,2018-12-20,2363271,3,889.2,$500M-$5B,False,False,10.912835121154783,3.93,4.87,20.8,2018-12-28,2018-12-31,2019-01-22,False,,12.9548,7.8452,True,2018
SSP,E.W. Scripps Co,2018-12-26,2018-12-12,2018-12-26,1662404,2,910.3,$500M-$5B,False,False,11.371175765991213,3.45,8.83,20.15,2019-01-02,2019-01-07,2019-01-25,False,,11.6804,8.469599999999998,True,2018
SSP,E.W. Scripps Co,2018-12-31,2018-12-13,2018-12-27,1841131,2,923.2,$500M-$5B,False,False,11.764036178588867,5.19,9.83,15.21,2019-01-07,2019-01-10,2019-01-30,False,,10.3809,4.8291,True,2018
SSP,E.W. Scripps Co,2019-01-02,2018-12-19,2019-01-02,1518662,2,949.0,$500M-$5B,False,False,11.793136596679688,9.32,12.83,12.58,2019-01-09,2019-01-14,2019-02-01,False,,10.7827,1.7973,True,2019
GEF,Greif Inc,2019-01-02,2018-12-27,2018-12-31,641833,3,1519.5,$500M-$5B,True,False,27.45341682434082,8.45,8.17,8.9,2019-01-09,2019-01-14,2019-02-01,False,,10.7827,-1.8826999999999998,False,2019
SSP,E.W. Scripps Co,2019-01-04,2018-12-20,2019-01-03,1782876,2,983.7,$500M-$5B,False,False,12.37515640258789,7.0,7.52,9.46,2019-01-11,2019-01-14,2019-02-04,False,,10.0372,-0.5771999999999995,False,2019
SSP,E.W. Scripps Co,2019-01-09,2018-12-26,2019-01-09,1632002,2,1040.0,$500M-$5B,False,False,12.920795440673828,4.17,2.03,5.8,2019-01-16,2019-01-22,2019-02-08,False,,4.8635,0.9364999999999997,True,2019
SSP,E.W. Scripps Co,2019-01-11,2018-12-27,2019-01-10,1892392,2,1068.2,$500M-$5B,False,False,13.306384086608888,0.93,-0.93,2.52,2019-01-18,2019-01-22,2019-02-11,False,,5.1643,-2.6443,False,2019
SSP,E.W. Scripps Co,2019-01-16,2019-01-02,2019-01-16,1705405,2,1085.8,$500M-$5B,False,False,13.662869453430176,-1.33,0.11,2.82,2019-01-23,2019-01-28,2019-02-15,False,,8.0958,-5.2758,False,2019
SSP,E.W. Scripps Co,2019-01-18,2019-01-03,2019-01-17,2033726,2,1083.4,$500M-$5B,False,False,13.18270492553711,3.64,3.75,6.68,2019-01-25,2019-01-28,2019-02-19,False,,6.3259,0.35409999999999986,True,2019
SSP,E.W. Scripps Co,2019-01-23,2019-01-09,2019-01-23,1799274,2,1087.5,$500M-$5B,False,False,13.473712921142578,0.59,0.54,7.51,2019-01-30,2019-02-04,2019-02-22,False,,9.3707,-1.8606999999999996,False,2019
SSP,E.W. Scripps Co,2019-01-25,2019-01-10,2019-01-24,2030195,2,1102.2,$500M-$5B,False,False,13.67741870880127,-2.93,-0.96,4.95,2019-02-01,2019-02-04,2019-02-25,False,,7.3639,-2.4139,False,2019
SSP,E.W. Scripps Co,2019-02-01,2019-01-17,2019-01-31,1772936,2,1071.1,$500M-$5B,False,False,13.546464920043944,0.91,0.7,20.35,2019-02-08,2019-02-11,2019-03-04,False,,5.1147,15.235300000000002,True,2019
SSP,E.W. Scripps Co,2019-02-06,2019-01-23,2019-02-06,1468206,2,1105.2,$500M-$5B,False,False,13.575566291809082,2.57,3.59,20.04,2019-02-13,2019-02-19,2019-03-08,False,,0.4704,19.569599999999998,True,2019
NFE,New Fortress Energy LLC,2019-02-06,2019-02-04,2019-02-04,70000000,2,3511.2,$500M-$5B,False,True,12.345359802246094,-0.43,-0.43,1.56,2019-02-13,2019-02-19,2019-03-08,False,,0.4704,1.0896000000000001,True,2019
SSP,E.W. Scripps Co,2019-02-08,2019-01-24,2019-02-07,1728985,2,1102.8,$500M-$5B,False,False,13.641043663024902,2.99,3.09,22.08,2019-02-15,2019-02-19,2019-03-11,False,,2.963,19.116999999999997,True,2019
SSP,E.W. Scripps Co,2019-02-13,2019-01-31,2019-02-13,1461113,2,1123.3,$500M-$5B,False,False,14.026630401611328,2.7,2.33,16.44,2019-02-20,2019-02-25,2019-03-15,False,,0.8734,15.566600000000001,True,2019
SSP,E.W. Scripps Co,2019-02-21,2019-02-06,2019-02-20,1136538,2,1159.1,$500M-$5B,False,False,14.484970092773438,6.23,12.56,8.57,2019-02-28,2019-03-04,2019-03-25,False,,-3.8965,12.4665,True,2019
MAT,Mattel Inc /de/,2019-02-25,2019-02-21,2019-02-22,1280379,2,4828.7,$500M-$5B,False,False,14.380000114440918,3.48,1.18,-8.48,2019-03-04,2019-03-07,2019-03-27,False,,-4.1196,-4.3604,False,2019
XBIT,Xbiotech Inc.,2019-03-04,2018-12-21,2018-12-24,1457217,2,285.8,$200M-$500M,False,False,8.220132827758789,5.35,-4.72,14.88,2019-03-11,2019-03-14,2019-04-03,False,,-0.7884,15.6684,True,2019
BCO,Brinks Co,2019-03-11,2019-03-08,2019-03-08,946420,2,3464.6,$500M-$5B,False,False,70.58353424072266,1.46,2.26,3.58,2019-03-18,2019-03-21,2019-04-10,False,,2.2291,1.3509000000000002,True,2019
RILY,"B. Riley Financial, Inc.",2019-03-15,2019-03-06,2019-03-14,1183903,3,266.2,$200M-$500M,False,False,9.967933654785156,-3.41,-0.71,0.47,2019-03-22,2019-03-25,2019-04-15,False,,1.828,-1.358,False,2019
ESPR,"Esperion Therapeutics, Inc.",2019-03-21,2019-03-14,2019-03-20,2955405,2,1186.5,$500M-$5B,False,False,41.38999938964844,-3.09,-2.9,0.8,2019-03-28,2019-04-01,2019-04-22,False,,-0.0258,0.8258000000000001,True,2019
CWH,"Camping World Holdings, Inc.",2019-03-21,2019-03-08,2019-03-19,2405819,2,867.3,$500M-$5B,False,False,9.223630905151367,7.16,5.35,1.43,2019-03-28,2019-04-01,2019-04-22,False,,-0.0258,1.4558,True,2019
NFE,New Fortress Energy LLC,2019-03-29,2019-03-28,2019-03-29,13640322,2,1721.9,$500M-$5B,False,False,9.772675514221191,13.66,10.96,14.91,2019-04-05,2019-04-08,2019-04-29,False,,3.8801,11.0299,True,2019
HOOK,Hookipa Pharma Inc.,2019-04-25,2019-04-23,2019-04-23,5749982,2,3054.8,$500M-$5B,False,False,140.0,-1.5,-1.79,-32.5,2019-05-02,2019-05-06,2019-05-28,False,,-4.5678,-27.9322,False,2019
WTRE,Watford Holdings Ltd.,2019-05-14,2019-05-08,2019-05-14,351078,2,544.0,$500M-$5B,True,False,24.054563522338867,0.16,-0.26,0.97,2019-05-21,2019-05-24,2019-06-13,False,,-0.3061,1.2761,True,2019
MIST,Milestone Pharmaceuticals Inc.,2019-05-15,2019-05-13,2019-05-13,11499990,2,431.5,$200M-$500M,False,False,19.01000022888184,7.84,12.62,9.0,2019-05-22,2019-05-28,2019-06-14,False,,-1.4996,10.499600000000001,True,2019
AMG,"Affiliated Managers Group, Inc.",2019-05-17,2019-05-10,2019-05-13,1128941,2,4492.9,$500M-$5B,True,False,87.46729278564453,-0.26,-2.02,-1.47,2019-05-24,2019-05-28,2019-06-17,False,,-0.0415,-1.4284999999999999,False,2019
ARR,"Armour Residential Reit, Inc.",2019-05-23,2019-05-22,2019-05-22,2869200,2,1921.6,$500M-$5B,True,False,32.29777145385742,-3.86,-0.72,2.32,2019-05-30,2019-06-03,2019-06-24,False,,2.1595,0.16049999999999986,True,2019
RM,Regional Management Corp.,2019-05-28,2019-05-28,2019-05-28,3151102,2,237.6,$200M-$500M,True,False,21.07177734375,-2.51,-2.12,-0.47,2019-06-04,2019-06-07,2019-06-27,False,,3.0628,-3.5328,False,2019
CWH,"Camping World Holdings, Inc.",2019-05-28,2019-05-09,2019-05-23,9394120,2,685.1,$500M-$5B,True,False,7.491591930389404,12.35,10.96,15.94,2019-06-04,2019-06-07,2019-06-27,False,,3.0628,12.877199999999998,True,2019
CWH,"Camping World Holdings, Inc.",2019-06-10,2019-05-23,2019-06-06,2575351,2,737.0,$500M-$5B,True,False,8.604548454284668,-0.12,0.2,-4.3,2019-06-17,2019-06-20,2019-07-10,False,,2.9448,-7.2448,False,2019
RMAX,"Re/max Holdings, Inc.",2019-06-12,2019-06-03,2019-06-11,22218348,2,842.2,$500M-$5B,True,False,28.09650611877441,-1.42,-7.7,-5.67,2019-06-19,2019-06-24,2019-07-12,False,,3.4266,-9.0966,False,2019
STOK,"Stoke Therapeutics, Inc.",2019-06-21,2019-06-21,2019-06-21,50000004,2,826.1,$500M-$5B,False,False,25.530000686645508,14.26,13.08,-9.91,2019-06-28,2019-07-01,2019-07-22,False,,-0.1754,-9.7346,False,2019
GEF,Greif Inc,2019-07-08,2019-07-02,2019-07-05,614526,2,1456.3,$500M-$5B,True,False,25.98601531982422,3.6,3.54,1.21,2019-07-15,2019-07-18,2019-08-07,False,,-3.7825,4.9925,True,2019
FULC,"Fulcrum Therapeutics, Inc.",2019-07-23,2019-07-22,2019-07-22,7300000,5,303.7,$200M-$500M,False,False,13.25,11.32,-3.09,-12.38,2019-07-30,2019-08-02,2019-08-22,False,,-3.0188,-9.3612,False,2019
