ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,insider_names
PRVB,"Provention Bio, Inc.",2018-07-26,2018-07-19,2018-07-19,3540000,4,Appel Peter A; Leon Francisco; Palmer Ashleigh; Ramos Eleanor
WAL,Western Alliance Bancorporation,2018-07-30,2018-07-27,2018-07-27,711314,2,Gibbons Dale; Vecchione Kenneth
BE,Bloom Energy Corp,2018-07-31,2018-07-27,2018-07-27,39999990,2,New Enterprise Associates 10 L P; Sandell Scott D
LQDA,Liquidia Technologies Inc,2018-08-01,2018-07-30,2018-07-30,37637028,7,"Barrett M James; Barris Peter J; Baskett Forest; Glaxosmithkline Plc; Kerins Patrick J; New Enterprise Associates 12, Limited Partnership; Sandell Scott D"
LOB,"Live Oak Bancshares, Inc.",2018-08-06,2018-07-30,2018-08-03,3942754,2,Mahan James S III; Williams William L. III
GHC,Graham Holdings Co,2018-08-07,2018-08-02,2018-08-02,3552396,2,Graham Donald; O'Shaughnessy Timothy J
VECO,Veeco Instruments Inc,2018-08-10,2018-08-09,2018-08-10,217656,2,Maheshwari Shubham; Peeler John R
GFN,General Finance Corp,2018-08-13,2018-05-24,2018-06-01,2539252,2,Havner Leeann R; Havner Ronald L Jr
GFN,General Finance Corp,2018-08-13,2018-05-29,2018-06-11,13875868,2,Havner Leeann R; Havner Ronald L Jr
GFN,General Finance Corp,2018-08-13,2018-06-01,2018-06-13,13782368,2,Havner Leeann R; Havner Ronald L Jr
SGMS,Scientific Games Corp,2018-08-13,2018-08-09,2018-08-13,6218861,3,Cottle Barry L; Perelman Ronald O; Quartieri Michael
GFN,General Finance Corp,2018-08-16,2018-08-09,2018-08-15,1179260,2,Havner Leeann R; Havner Ronald L Jr
PAH,Platform Specialty Products Corp,2018-08-16,2018-08-06,2018-08-15,120867516,2,"Capps John Edward; Pershing Square Capital Management, L.P."
EPRT,"Essential Properties Realty Trust, Inc.",2018-08-23,2018-08-17,2018-08-22,254347,2,Mavoides Peter M.; Seibert Gregg A
FTSV,"Forty Seven, Inc.",2018-08-24,2018-08-16,2018-08-22,4540330,3,Mhatre Ravi; Nieh Peter; Schaepe Christopher J
FLMN,Falcon Minerals Corp,2018-08-24,2018-08-23,2018-08-23,7750000,2,Brotman Jeffrey F; Cohen Jonathan Z
LILA,Liberty Latin America Ltd.,2018-08-27,2018-08-22,2018-08-23,2354199,2,Nair Balan; Noyes Christopher J
APA,Apache Corp,2018-08-29,2018-08-27,2018-08-27,444273,2,Christmann John J; Riney Stephen J
TZACU,Tenzing Acquisition Corp.,2018-09-04,2018-08-23,2018-08-30,6860000,2,Nayar Rahul; Saxena Parag
BCO,Brinks Co,2018-09-07,2018-09-06,2018-09-07,278960,2,Domanico Ronald James; Pertz Douglas A
AMRS,"Amyris, Inc.",2018-09-07,2018-08-22,2018-09-05,201126,2,Alvarez Eduardo; Valiasek Kathleen
MGY,Magnolia Oil &amp; Gas Corp,2018-09-17,2018-09-07,2018-09-13,275300,2,Chazen Stephen I; Stavros Christopher G
ETP,"Energy Transfer Partners, L.P.",2018-09-17,2018-09-07,2018-09-14,45072020,2,Long Thomas E; Warren Kelcy L
FG,Fgl Holdings,2018-09-17,2018-09-13,2018-09-14,480950,2,Littlefield Christopher J; Vigneau Dennis
BHC,Bausch Health Companies Inc.,2018-09-17,2018-09-14,2018-09-14,895700,2,Herendeen Paul; Papa Joseph C
PRNB,Principia Biopharma Inc.,2018-09-20,2018-09-18,2018-09-18,22950000,5,"Becker Daniel J.; George Simeon; Glaxosmithkline Plc; New Leaf Ventures Ii, L.P.; Sofinnova Venture Partners Viii, L.P."
ASB,Associated Banc-Corp,2018-09-21,2018-09-19,2018-09-19,4850000,2,Flynn Philip B; Stein David L
SIC,"Select Interior Concepts, Inc.",2018-09-26,2018-09-21,2018-09-25,5201800,2,"Moiz Nadeem; Solace Capital Partners, L.P."
SSP,E.W. Scripps Co,2018-10-02,2018-09-18,2018-10-02,1151559,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
ETTX,Entasis Therapeutics Holdings Inc.,2018-10-02,2018-09-28,2018-09-28,60123555,9,"Astrazeneca Plc; Clarus Lifesciences Iii, L.P.; Frazier Life Sciences Viii, L.P.; Galakatos Nicholas; Novo Holdings A/s; Pivotal Bioventure Partners Fund I, L.P.; Preston Heather; Sofinnova Venture Partners Ix, L.P.; Topper James N"
GRTS,"Gritstone Oncology, Inc.",2018-10-02,2018-09-28,2018-09-28,9999990,2,"Clarus Lifesciences Iii, L.P.; Simon Nicholas"
SSP,E.W. Scripps Co,2018-10-03,2018-09-19,2018-10-03,1224673,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
UROV,Urovant Sciences Ltd.,2018-10-03,2018-10-01,2018-10-01,74999988,2,Lo Andrew; Machado Patrick
ARVN,Arvinas Inc.,2018-10-03,2018-10-01,2018-10-01,5480000,2,Flynn James E; Houston John G
SSP,E.W. Scripps Co,2018-10-09,2018-09-20,2018-10-04,1509492,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2018-10-10,2018-09-25,2018-10-09,1451724,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2018-10-11,2018-09-26,2018-10-10,1504735,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2018-10-16,2018-10-02,2018-10-16,2016141,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
ALLO,"Allogene Therapeutics, Inc.",2018-10-17,2018-10-15,2018-10-15,1350000,2,Belldegrun Arie; Chang David D
SSP,E.W. Scripps Co,2018-10-18,2018-10-03,2018-10-17,2050629,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
PLAG,Planet Green Holdings Corp.,2018-10-18,2018-10-16,2018-10-16,10000004,2,Jin Yimin; Yu Hongxiang
SSP,E.W. Scripps Co,2018-10-19,2018-10-04,2018-10-18,2342287,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
KRYS,"Krystal Biotech, Inc.",2018-10-22,2018-10-18,2018-10-18,1000000,2,Krishnan Krish S; Krishnan Suma
SSP,E.W. Scripps Co,2018-10-24,2018-10-09,2018-10-23,2154029,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2018-10-24,2018-10-10,2018-10-24,2152136,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
PHAS,Phasebio Pharmaceuticals Inc,2018-10-24,2018-10-22,2018-10-22,4500000,2,Astrazeneca Plc; Thorp Clay
SSP,E.W. Scripps Co,2018-10-26,2018-10-11,2018-10-25,2372090,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2018-10-30,2018-10-16,2018-10-30,2164912,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
HSY,Hershey Co,2018-10-30,2018-10-29,2018-10-29,10000040,2,Hershey Trust Co; Hershey Trust Co Trustee In Trust For Milton Hershey School
CMO,Capstead Mortgage Corp,2018-10-31,2018-10-29,2018-10-31,270782,2,Reinsch Phillip A; Spears Robert R Jr
SSP,E.W. Scripps Co,2018-11-02,2018-10-18,2018-11-01,2179361,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
AXNX,"Axonics Modulation Technologies, Inc.",2018-11-02,2018-11-02,2018-11-02,46999965,4,Gilde Healthcare Holding B.V.; Pardo Geoff; Tammenoms Bakker Juliet; Wisniewski Raphael
EQT,Eqt Corp,2018-11-05,2018-10-31,2018-11-02,738148,2,Centofanti Erin R.; McNally Robert Joseph
SSP,E.W. Scripps Co,2018-11-07,2018-10-23,2018-11-06,1941774,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2018-11-08,2018-10-24,2018-11-07,1974761,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
ECA,Encana Corp,2018-11-08,2018-11-05,2018-11-08,594163,2,Brillon Sherri Anne; Suttles Douglas James
PRGO,Perrigo Co Plc,2018-11-09,2018-11-09,2018-11-09,1450880,3,Andersen Svend; Kessler Murray S; Kingma Todd W
SSP,E.W. Scripps Co,2018-11-09,2018-10-25,2018-11-08,2274481,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
DLX,Deluxe Corp,2018-11-09,2018-11-07,2018-11-07,200314,2,Bush Keith A; Cotter Jeffrey Louis
VAC,Marriott Vacations Worldwide Corp,2018-11-13,2018-11-09,2018-11-12,651653,2,Geller John E Jr; Weisz Stephen P
SSP,E.W. Scripps Co,2018-11-13,2018-10-30,2018-11-13,2127818,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
VRAY,"Viewray, Inc.",2018-11-13,2018-11-13,2018-11-13,549950,2,Drake Scott William; Matin Shahriar
ECPG,Encore Capital Group Inc,2018-11-13,2018-11-09,2018-11-09,784050,2,Clark Jonathan C; Masih Ashish
EPD,Enterprise Products Partners L P,2018-11-14,2018-11-13,2018-11-14,656856,2,Fowler W Randall; Teague Aj
ATNX,"Athenex, Inc.",2018-11-14,2018-11-14,2018-11-14,523700,2,Kwan Rudolf; Lau Johnson Yiu Nam
INFN,Infinera Corp,2018-11-14,2018-11-09,2018-11-14,411605,2,Fallon Thomas J; Feller Brad
RASFO,Rait Financial Trust,2018-11-15,2018-11-01,2018-11-14,231275,2,Amster Howard; Frischer Charles L
GHL,Greenhill &amp; Co Inc,2018-11-15,2018-11-08,2018-11-13,9973695,2,Bok Scott L; Greenhill Robert F
COMM,"Commscope Holding Company, Inc.",2018-11-16,2018-11-14,2018-11-15,888811,2,Pease Alexander W; Wyatt Frank B II
SUP,Superior Industries International Inc,2018-11-16,2018-11-14,2018-11-15,492269,2,Masanovich Matti; Stebbins Donald J
SSP,E.W. Scripps Co,2018-11-16,2018-11-01,2018-11-15,2791411,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
CABO,"Cable One, Inc.",2018-11-16,2018-11-14,2018-11-15,408792,2,Cochran Steven Scott; Johnson Kenneth E
EQT,Eqt Corp,2018-11-19,2018-11-02,2018-11-16,506923,3,Centofanti Erin R.; McNally Robert Joseph; Smith David Joseph
WTR,Aqua America Inc,2018-11-19,2018-11-14,2018-11-15,2072028,3,Fox Richard Scott; Franklin Chris; Schuller Daniel
COTY,Coty Inc.,2018-11-20,2018-11-14,2018-11-19,93342331,2,Jab Cosmetics B.V.; Laubies Pierre
K,Kellogg Co,2018-11-20,2018-11-19,2018-11-20,1607580,2,Cahillane Steven A; Khan Fareed A
SSP,E.W. Scripps Co,2018-11-21,2018-11-06,2018-11-20,2627696,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2018-11-21,2018-11-07,2018-11-21,2706533,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
MDGL,"Madrigal Pharmaceuticals, Inc.",2018-11-23,2018-11-19,2018-11-20,1216907,2,Craves Fred B; Friedman Paul A
EQT,Eqt Corp,2018-11-26,2018-11-16,2018-11-21,483703,3,Centofanti Erin R.; McNally Robert Joseph; Smith David Joseph
BECN,Beacon Roofing Supply Inc,2018-11-26,2018-11-21,2018-11-21,250782,2,Harrison Christopher Anthony; Isabella Paul
SSP,E.W. Scripps Co,2018-11-27,2018-11-13,2018-11-27,2578314,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2018-11-28,2018-11-14,2018-11-28,2601628,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2018-11-30,2018-11-15,2018-11-29,2973614,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2018-12-04,2018-11-20,2018-12-04,2703936,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
AQUA,Evoqua Water Technologies Corp.,2018-12-06,2018-11-30,2018-12-04,745623,2,Keating Ronald C; Kohosek James M.
SSP,E.W. Scripps Co,2018-12-07,2018-11-23,2018-12-06,2661859,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
ENR,"Energizer Holdings, Inc.",2018-12-10,2018-12-03,2018-12-06,916400,2,Gorman Timothy W; Hoskins Alan R.
CASH,Meta Financial Group Inc,2018-12-10,2018-12-06,2018-12-07,533700,2,Hanson Bradley C; Herrick Glen William
SSP,E.W. Scripps Co,2018-12-11,2018-11-27,2018-12-11,2595276,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2018-12-12,2018-11-28,2018-12-12,2550984,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
RETA,Reata Pharmaceuticals Inc,2018-12-12,2018-12-10,2018-12-10,13167668,2,McGaughy R Kent Jr; Traweek James W Jr
BPFH,Boston Private Financial Holdings Inc,2018-12-13,2018-11-28,2018-12-12,372930,2,Dechellis Anthony; Simons Paul M
LOB,"Live Oak Bancshares, Inc.",2018-12-13,2018-12-12,2018-12-12,5675167,2,Mahan James S III; Williams William L. III
TROX,Tronox Ltd,2018-12-13,2018-12-10,2018-12-11,330316,2,Carlson Timothy C; Quinn Jeffry N
THOR,"Synthorx, Inc.",2018-12-13,2018-12-11,2018-12-11,83000016,5,"Avalon Ventures X, L.P.; Kolchinsky Peter; Lichter Jay; Reardon Tighe; Thompson Peter A."
UNFI,United Natural Foods Inc,2018-12-13,2018-12-12,2018-12-12,466859,2,Griffin Sean; Spinner Steven
SSP,E.W. Scripps Co,2018-12-14,2018-11-29,2018-12-13,2772560,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
SEE,Sealed Air Corp/de,2018-12-18,2018-12-17,2018-12-17,420126,2,Chammas Emile Z.; Doheny Edward L II
GMRE,Global Medical Reit Inc.,2018-12-18,2018-12-14,2018-12-14,19999998,2,Huang Yanping; Zhang Jing Guo
PWR,Quanta Services Inc,2018-12-19,2018-12-18,2018-12-19,998923,2,Austin Earl C. Jr.; Jensen Derrick A
KOP,Koppers Holdings Inc.,2018-12-19,2018-12-13,2018-12-18,273200,2,Ball M Leroy; Zugay Michael
PAH,Platform Specialty Products Corp,2018-12-20,2018-12-14,2018-12-20,3225400,2,Capps John Edward; Franklin Martin E
MDR,McDermott International Inc,2018-12-20,2018-11-02,2018-11-09,909547,3,Dickson David; Prescott Ian; Spence Stuart
MDR,McDermott International Inc,2018-12-20,2018-11-09,2018-11-23,364997,2,Kawash Tareq; Prescott Ian
SSP,E.W. Scripps Co,2018-12-21,2018-12-06,2018-12-20,2363271,3,Granado Corina S.; Peirce Mary; Scripps Eaton M
MDCO,Medicines Co /de,2018-12-21,2018-12-17,2018-12-20,2508602,2,Cox Christopher T; Timney Mark
SSP,E.W. Scripps Co,2018-12-26,2018-12-12,2018-12-26,1662404,2,Peirce Mary; Scripps Eaton M
UBP,Urstadt Biddle Properties Inc,2018-12-28,2018-12-26,2018-12-26,1289600,2,Biddle Catherine U; Biddle Willing L
SSP,E.W. Scripps Co,2018-12-31,2018-12-13,2018-12-27,1841131,2,Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2019-01-02,2018-12-19,2019-01-02,1518662,2,Peirce Mary; Scripps Eaton M
GEF,Greif Inc,2019-01-02,2018-12-27,2018-12-31,641833,3,Hilsheimer Lawrence A.; Rosgaard Ole G; Watson Peter G
SSP,E.W. Scripps Co,2019-01-04,2018-12-20,2019-01-03,1782876,2,Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2019-01-09,2018-12-26,2019-01-09,1632002,2,Peirce Mary; Scripps Eaton M
MDT,Medtronic Plc,2019-01-09,2019-01-09,2019-01-09,1260150,2,Ishrak Omar; Parkhill Karen L
SSP,E.W. Scripps Co,2019-01-11,2018-12-27,2019-01-10,1892392,2,Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2019-01-16,2019-01-02,2019-01-16,1705405,2,Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2019-01-18,2019-01-03,2019-01-17,2033726,2,Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2019-01-23,2019-01-09,2019-01-23,1799274,2,Peirce Mary; Scripps Eaton M
ALPN,"Alpine Immune Sciences, Inc.",2019-01-23,2019-01-18,2019-01-18,9074988,6,"Alpine Immunosciences, L.P.; Frazier Life Sciences Viii, L.P.; Gold Mitchell; Thompson Peter A.; Topper James N; Venkatesan Jay"
SSP,E.W. Scripps Co,2019-01-25,2019-01-10,2019-01-24,2030195,2,Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2019-02-01,2019-01-17,2019-01-31,1772936,2,Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2019-02-06,2019-01-23,2019-02-06,1468206,2,Peirce Mary; Scripps Eaton M
NFE,New Fortress Energy LLC,2019-02-06,2019-02-04,2019-02-04,70000000,2,Edens Wesley R; Nardone Randal A
SSP,E.W. Scripps Co,2019-02-08,2019-01-24,2019-02-07,1728985,2,Peirce Mary; Scripps Eaton M
SSP,E.W. Scripps Co,2019-02-13,2019-01-31,2019-02-13,1461113,2,Peirce Mary; Scripps Eaton M
HARP,"Harpoon Therapeutics, Inc.",2019-02-14,2019-02-12,2019-02-12,24999982,5,"Arix Bioscience Plc; Hunt Ronald; Mpm Bioventures 2014, L.P.; New Leaf Ventures Iii, L.P.; Ubs Oncology Impact Fund L.P."
EQT,Eqt Corp,2019-02-21,2019-02-19,2019-02-19,470681,2,Lushko Jonathan M.; Smith David Joseph
SSP,E.W. Scripps Co,2019-02-21,2019-02-06,2019-02-20,1136538,2,Peirce Mary; Scripps Eaton M
TCRR,Tcr2 Therapeutics Inc.,2019-02-21,2019-02-19,2019-02-19,51799980,4,"Gadicke Ansbert; Mpm Bioventures 2014, L.P.; Mpm Sunstates Fund, L.P.; Ubs Oncology Impact Fund L.P."
MAT,Mattel Inc /de/,2019-02-25,2019-02-21,2019-02-22,1280379,2,Euteneuer Joseph J; Kreiz Ynon
XBIT,Xbiotech Inc.,2019-03-04,2018-12-21,2018-12-24,1457217,2,McKenzie W  Thorpe; Rennes Fondation
DBD,"Diebold Nixdorf, Inc",2019-03-05,2019-02-19,2019-03-04,606037,3,Heyden Olaf Robert; Naher Ulrich; Schmid Gerrard
CTL,"Centurylink, Inc",2019-03-06,2019-03-06,2019-03-06,1578761,2,Dev Indraneel; Storey Jeffrey K
MRSN,"Mersana Therapeutics, Inc.",2019-03-06,2019-03-05,2019-03-05,30000000,2,"Mott David M; New Enterprise Associates 14, L.P."
MAXR,Maxar Technologies Inc.,2019-03-08,2019-03-05,2019-03-06,205615,2,Jablonsky Daniel L; Scott Walter S.
BCO,Brinks Co,2019-03-11,2019-03-08,2019-03-08,946420,2,Domanico Ronald James; Pertz Douglas A
ESGR,Enstar Group Ltd,2019-03-13,2019-03-08,2019-03-12,5956000,3,Bowker Guy Thomas Anthony; Gregory Orla; Silvester Dominic Francis Michael
DBD,"Diebold Nixdorf, Inc",2019-03-14,2019-03-04,2019-03-13,789026,4,Heyden Olaf Robert; Naher Ulrich; Rutherford Jeffrey L; Schmid Gerrard
RILY,"B. Riley Financial, Inc.",2019-03-15,2019-03-06,2019-03-14,1183903,3,Kelleher Thomas J /adv; Moore Andrew; Riley Bryant R
CADE,Cadence Bancorporation,2019-03-18,2019-03-15,2019-03-15,1991438,2,Murphy Paul B Jr; Tortorici Samuel M.
ESPR,"Esperion Therapeutics, Inc.",2019-03-21,2019-03-14,2019-03-20,2955405,2,Biotech Target N V; Mayleben Timothy M
CWH,"Camping World Holdings, Inc.",2019-03-21,2019-03-08,2019-03-19,2405819,2,"Abrams Capital Management, L.P.; Lemonis Marcus"
ETRN,Equitrans Midstream Corp,2019-03-27,2019-03-20,2019-03-25,5457641,3,Charletta Diana M; Karam Thomas F; Oliver Kirk R
NFE,New Fortress Energy LLC,2019-03-29,2019-03-28,2019-03-29,13640322,2,Edens Wesley R; Nardone Randal A
TGE,"Tallgrass Energy, LP",2019-03-29,2019-03-14,2019-03-27,28380350,2,Blackstone Holdings III L.P.; Blackstone Infrastructure Associates L.P.
EQT,Eqt Corp,2019-04-01,2019-03-29,2019-03-29,425073,2,Centofanti Erin R.; McNally Robert Joseph
TW,Tradeweb Markets Inc.,2019-04-08,2019-04-08,2019-04-08,756000,2,Olesky Lee; Warshaw Robert J
NGM,Ngm Biopharmaceuticals Inc,2019-04-10,2019-04-08,2019-04-08,60320000,2,Goeddel David V; Svennilson Peter
BKSC,Bank of South Carolina Corp,2019-04-19,2019-04-17,2019-04-17,378400,2,Sass Douglas H; Walpole Eugene H IV
TPTX,"Turning Point Therapeutics, Inc.",2019-04-24,2019-04-22,2019-04-22,6066000,2,Countouriotis Athena; Glaxosmithkline Plc
MNRL,"Brigham Minerals, Inc.",2019-04-25,2019-04-23,2019-04-23,999990,2,Roosa Robert M.; Williams Blake C.
HOOK,Hookipa Pharma Inc.,2019-04-25,2019-04-23,2019-04-23,5749982,2,Forbion Capital Fund II Cooperatief U.A.; Sofinnova Capital VI Fcpr
ADM,Archer Daniels Midland Co,2019-04-29,2019-04-29,2019-04-29,1257233,2,Luciano Juan R; Young Ray G
TGE,"Tallgrass Energy, LP",2019-05-02,2019-04-17,2019-04-30,40519416,2,Blackstone Holdings III L.P.; Blackstone Infrastructure Associates L.P.
TGE,"Tallgrass Energy, LP",2019-05-10,2019-04-25,2019-05-08,50771428,2,Blackstone Holdings III L.P.; Blackstone Infrastructure Associates L.P.
MOS,Mosaic Co,2019-05-10,2019-05-08,2019-05-10,340600,2,Freeland Clint; O'Rourke James Calvin
AMRX,"Amneal Pharmaceuticals, Inc.",2019-05-13,2019-05-13,2019-05-13,327940,2,Boyer Andrew S; Todisco Joseph
TRVI,"Trevi Therapeutics, Inc.",2019-05-13,2019-05-09,2019-05-09,311905000,19,"Aperture Venture Partners Iv, L.P.; Barris Peter J; Baskett Forest; Behbahani Ali; Chang Carmen; Florence Anthony A. Jr.; Good Jennifer L; Lundbeckfond Invest A/s; Makhzoumi Mohamad; Makower Joshua; Meeker David P; Mellon Family Investment Co V; Mott David M; New Enterprise Associates 16, L.P.; Omega Fund V, L.P.; Richard King Mellon Foundation; Sandell Scott D; Sonsini Peter W.; Walker Paul Edwar"
COOP,Mr. Cooper Group Inc.,2019-05-13,2019-05-03,2019-05-09,1493736,2,Bray Jesse K; Marshall Christopher G
COTY,Coty Inc.,2019-05-14,2019-04-30,2019-05-10,1756825059,3,Cottage Holdco B.V.; Laubies Pierre; Terisse Pierre-Andre
LILA,Liberty Latin America Ltd.,2019-05-14,2019-05-14,2019-05-14,428767,2,Nair Balan; Noyes Christopher J
WTRE,Watford Holdings Ltd.,2019-05-14,2019-05-08,2019-05-14,351078,2,Hawley Robert L.; Rathgeber John F
PENN,Penn National Gaming Inc,2019-05-15,2019-05-13,2019-05-13,427111,2,Fair William J; Snowden Jay A
QRTEA,"Qurate Retail, Inc.",2019-05-15,2019-05-13,2019-05-13,13046725,2,George Michael A; Malone John C
NXTC,"Nextcure, Inc.",2019-05-15,2019-05-13,2019-05-13,6750000,2,"Canaan X L.P.; Sofinnova Venture Partners Ix, L.P."
MIST,Milestone Pharmaceuticals Inc.,2019-05-15,2019-05-13,2019-05-13,11499990,2,Fonds De Solidarite Des Travailleurs Du Quebec; Novo Holdings A/s
BBCP,"Concrete Pumping Holdings, Inc.",2019-05-16,2019-05-14,2019-05-14,5400000,2,Stevens Brent M; Young Bruce F.
COTY,Coty Inc.,2019-05-17,2019-05-10,2019-05-15,10527259,3,Laubies Pierre; Pieraccioni Giovanni; Terisse Pierre-Andre
AMG,"Affiliated Managers Group, Inc.",2019-05-17,2019-05-10,2019-05-13,1128941,2,Cutler Hugh; Horgen Jay C.
PBHC,"Pathfinder Bancorp, Inc.",2019-05-17,2019-05-13,2019-05-15,347303,2,Schneider Thomas W; Tascarella Ronald
LIN,Linde Plc,2019-05-17,2019-05-15,2019-05-15,872753,3,Bruch Christian; Eulitz Bernd Hugo; Lamba Sanjiv
INMB,"Inmune Bio, Inc.",2019-05-20,2019-05-02,2019-05-08,784218,2,Powers Linda F; Tesi Raymond Joseph
ARR,"Armour Residential Reit, Inc.",2019-05-23,2019-05-22,2019-05-22,2869200,2,Ulm Scott; Zimmer Jeffrey J
CTL,"Centurylink, Inc",2019-05-23,2019-05-15,2019-05-23,747827,3,Dev Indraneel; Perry Harvey P; Storey Jeffrey K
RM,Regional Management Corp.,2019-05-28,2019-05-28,2019-05-28,3151102,2,"Basswood Capital Management, L.L.C.; Basswood Partners, L.L.C."
CWH,"Camping World Holdings, Inc.",2019-05-28,2019-05-09,2019-05-23,9394120,2,"Abrams Capital Management, L.P.; Lemonis Marcus"
EIDX,"Eidos Therapeutics, Inc.",2019-05-29,2019-05-24,2019-05-24,85868337,3,Aguiar Eric; Kumar Neil; Satvat Ali J.
CTL,"Centurylink, Inc",2019-05-30,2019-05-23,2019-05-30,744935,3,Dev Indraneel; Hanks William Bruce; Storey Jeffrey K
WTRH,Waitr Holdings Inc.,2019-05-30,2019-05-21,2019-05-24,1149399,2,Meaux Christopher; Stough Joseph
MAC,Macerich Co,2019-05-31,2019-05-23,2019-05-30,495422,2,Kingsmore Scott W; O Hern Thomas E
CONN,Conns Inc,2019-06-04,2019-06-04,2019-06-04,300528,2,Miller Norman; Wright Lee A.
AAL,American Airlines Group Inc.,2019-06-04,2019-06-04,2019-06-04,1958657,5,Eberwein Elise R; Johnson Stephen L; Kerr Derek J; Leibman Maya; Parker W Douglas
CPRI,Capri Holdings Ltd,2019-06-04,2019-05-31,2019-06-04,20429509,2,Edwards Thomas Jr.; Idol John D
REZI,"Resideo Technologies, Inc.",2019-06-05,2019-05-23,2019-06-05,226886,2,Nefkens Michael G; Ragan Joseph Douglas III
MYOV,Myovant Sciences Ltd.,2019-06-06,2019-06-04,2019-06-04,39999994,2,Lo Andrew; Machado Patrick
CWH,"Camping World Holdings, Inc.",2019-06-10,2019-05-23,2019-06-06,2575351,2,"Abrams Capital Management, L.P.; Lemonis Marcus"
FCX,Freeport-McMoran Inc,2019-06-10,2019-06-06,2019-06-07,2268420,2,Adkerson Richard C; Quirk Kathleen L
RMAX,"Re/max Holdings, Inc.",2019-06-12,2019-06-03,2019-06-11,22218348,2,Liniger David L.; Liniger Gail A.
OXY,Occidental Petroleum Corp /de/,2019-06-13,2019-06-10,2019-06-13,3454850,5,Backus Marcia E.; Brown Oscar K; Burgher Cedric W.; Hollub Vicki A.; Vangolen Glenn M.
ETM,Entercom Communications Corp,2019-06-14,2019-05-29,2019-06-12,3739250,2,Field David J; Field Joseph M
DSSI,Diamond S Shipping Inc.,2019-06-14,2019-06-10,2019-06-13,435205,2,Fogarty Michael G; Stevenson Craig H Jr
CRWD,"Crowdstrike Holdings, Inc.",2019-06-18,2019-06-14,2019-06-14,66300000,2,Accel Growth Fund II L.P.; Gandhi Sameer K
STOK,"Stoke Therapeutics, Inc.",2019-06-21,2019-06-21,2019-06-21,50000004,2,"Apple Tree Partners Iv, L.P.; Harrison Seth Loring"
AKRO,"Akero Therapeutics, Inc.",2019-06-25,2019-06-24,2019-06-24,43520000,5,"Apple Tree Partners Iv, L.P.; Atlas Venture Fund Xi, L.P.; Harrison Seth Loring; Venbio Global Strategic Fund II L.P.; Versant Venture Capital Vi, L.P."
PRVL,Prevail Therapeutics Inc.,2019-06-26,2019-06-24,2019-06-24,29999968,2,Gordon Carl L; Thompson Peter A.
GNCA,"Genocea Biosciences, Inc.",2019-06-26,2019-06-24,2019-06-24,116499964,12,"Barris Peter J; Baskett Forest; Behbahani Ali; Chang Carmen; Florence Anthony A. Jr.; Glaxosmithkline Plc; Makhzoumi Mohamad; Makower Joshua; Mott David M; New Enterprise Associates 16, L.P.; Sandell Scott D; Sonsini Peter W."
CALA,"Calithera Biosciences, Inc.",2019-06-27,2019-06-25,2019-06-25,400416,2,Molineaux Christopher; Molineaux Susan
