ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,opportunistic_count,routine_insiders,insider_details,insider_vwap,market_cap_m,mcap_band,price,high_52w,low_52w,drawdown_52w_pct,near_52w_low,pre_cluster_close,pre_cluster_crash_pct,cmp_reliable,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_60d,outcome_90d,outcome_180d,outcome_7d_date,outcome_10d_date,outcome_30d_date,outcome_60d_date,outcome_90d_date,outcome_180d_date,iwm_7d,iwm_10d,iwm_30d,iwm_60d,iwm_90d,iwm_180d,alpha_7d,alpha_10d,alpha_30d,alpha_60d,alpha_90d,alpha_180d,delisted_or_acquired,notes
JBGS,JBG SMITH Properties,2020-09-14,2020-08-20,2020-09-14,1819677,3,3,,"[{""name"": ""Stewart Robert Alexander"", ""role"": ""Dir"", ""date"": ""2020-08-20"", ""price"": 27.52, ""value"": 1004555.0}, {""name"": ""Haldeman Charles E"", ""role"": ""Dir"", ""date"": ""2020-09-11"", ""price"": 26.65, ""value"": 266500.0}, {""name"": ""Estes Scott A"", ""role"": ""Dir"", ""date"": ""2020-09-14"", ""price"": 27.43, ""value"": 548622.0}]",27.36,2904.2,$500M-$3B,21.952110290527344,33.112892150878906,19.409927368164062,-33.7,True,22.77560806274414,20.1,True,False,22.071462631225586,-7.1,-6.52,-5.84,8.2,13.62,23.13,2020-09-21,2020-09-24,2020-10-14,2020-11-13,2020-12-14,2021-03-15,-3.5535,-5.7057,5.4339,13.5563,24.6977,53.9074,-3.5465,-0.8143,-11.2739,-5.3563,-11.0777,-30.7774,False,
BNL,"Broadstone Net Lease, Inc.",2020-09-21,2020-09-21,2020-09-21,1149200,3,3,,"[{""name"": ""Duckles Kristen"", ""role"": ""SVP, Chief Admin. Officer"", ""date"": ""2020-09-21"", ""price"": 17.0, ""value"": 102000.0}, {""name"": ""Hawkes Laurie A."", ""role"": ""Dir"", ""date"": ""2020-09-21"", ""price"": 17.0, ""value"": 945200.0}, {""name"": ""Czarnecki Christopher J"", ""role"": ""CEO, Pres"", ""date"": ""2020-09-21"", ""price"": 17.0, ""value"": 102000.0}]",17.0,2220.5,$500M-$3B,11.579116821289062,,,,False,11.790287971496582,44.2,True,True,11.4453763961792,4.55,3.4,2.91,8.49,19.4,14.16,2020-09-28,2020-10-01,2020-10-21,2020-11-20,2020-12-21,2021-03-22,1.0276,2.4822,7.3309,19.5334,31.8903,52.1494,3.5224,0.9178,-4.4209,-11.0434,-12.4903,-37.9894,False,
GOVX,"GeoVax Labs, Inc.",2020-09-29,2020-09-29,2020-09-29,1085015,4,4,,"[{""name"": ""Reynolds Mark"", ""role"": ""CFO"", ""date"": ""2020-09-29"", ""price"": 5.0, ""value"": 300920.0}, {""name"": ""Dodd David A"", ""role"": ""Pres, CEO"", ""date"": ""2020-09-29"", ""price"": 5.0, ""value"": 409350.0}, {""name"": ""McNally Robert T"", ""role"": ""Dir"", ""date"": ""2020-09-29"", ""price"": 5.0, ""value"": 269625.0}, {""name"": ""Spencer John N Jr"", ""role"": ""Dir"", ""date"": ""2020-09-29"", ""price"": 5.0, ""value"": 105120.0}]",5.0,851.0,$500M-$3B,1102.5,,,,False,1102.5,-99.5,True,False,1196.25,-13.17,0.94,-9.09,-9.09,5.33,31.35,2020-10-06,2020-10-09,2020-10-29,2020-11-30,2020-12-28,2021-03-29,4.5597,8.6187,3.5717,20.8492,32.7784,43.8504,-17.7297,-7.6787,-12.6617,-29.9392,-27.4484,-12.5004,False,
PBF,PBF Energy Inc.,2020-09-30,2020-09-28,2020-09-30,571055,3,3,,"[{""name"": ""Nimbley Thomas J."", ""role"": ""CEO"", ""date"": ""2020-09-28"", ""price"": 5.92, ""value"": 296195.0}, {""name"": ""Young C Erik"", ""role"": ""CFO, SVP"", ""date"": ""2020-09-30"", ""price"": 5.87, ""value"": 128472.0}, {""name"": ""O Connor Thomas L"", ""role"": ""SVP"", ""date"": ""2020-09-30"", ""price"": 5.86, ""value"": 146388.0}]",5.89,616.9,$500M-$3B,5.134303092956543,30.228946685791016,5.197466850280762,-83.0,True,6.487810134887695,-9.2,True,False,5.035046100616455,11.29,10.75,-16.31,30.11,21.51,151.08,2020-10-07,2020-10-12,2020-10-30,2020-11-30,2020-12-29,2021-03-29,5.1649,7.6292,0.598,18.9513,28.1619,41.5912,6.1251,3.1208,-16.908,11.1587,-6.6519,109.4888,False,
LUNG,Pulmonx Corporation,2020-10-05,2020-10-05,2020-10-05,1549944,4,4,,"[{""name"": ""Florin Daniel P"", ""role"": ""Dir"", ""date"": ""2020-10-05"", ""price"": 19.0, ""value"": 299991.0}, {""name"": ""Ferrari Richard M"", ""role"": ""Dir"", ""date"": ""2020-10-05"", ""price"": 19.0, ""value"": 249983.0}, {""name"": ""Melenikiotou Georgia"", ""role"": ""Dir"", ""date"": ""2020-10-05"", ""price"": 19.0, ""value"": 499985.0}, {""name"": ""Mead Dana G Jr."", ""role"": ""Dir"", ""date"": ""2020-10-05"", ""price"": 19.0, ""value"": 499985.0}]",19.0,1568.0,$500M-$3B,46.220001220703125,,,,False,41.900001525878906,-54.7,True,False,46.790000915527344,-10.24,-9.38,-0.34,7.67,27.53,2.2,2020-10-12,2020-10-15,2020-11-04,2020-12-04,2021-01-04,2021-04-05,4.578,3.9139,2.4263,20.1635,23.933,44.3599,-14.818,-13.2939,-2.7663,-12.4935,3.597,-42.1599,False,
MRVI,"Maravai LifeSciences Holdings, Inc.",2020-11-25,2020-11-24,2020-11-25,3993900,6,6,,"[{""name"": ""Gray Susannah"", ""role"": ""Dir"", ""date"": ""2020-11-24"", ""price"": 27.0, ""value"": 540000.0}, {""name"": ""Hance Robert B"", ""role"": ""Dir"", ""date"": ""2020-11-24"", ""price"": 27.0, ""value"": 270000.0}, {""name"": ""Prahalad Murali"", ""role"": ""Dir"", ""date"": ""2020-11-24"", ""price"": 27.0, ""value"": 486000.0}, {""name"": ""Lucier Gregory T"", ""role"": ""Dir"", ""date"": ""2020-11-24"", ""price"": 27.0, ""value"": 405000.0}, {""name"": ""Hopfield Jessica"", ""role"": ""Dir"", ""date"": ""2020-11-24"", ""price"": 27.0, ""value"": 1350000.0}, {""name"": ""Hull Carl"", ""role"": ""CEO"", ""date"": ""2020-11-25"", ""price"": 26.94, ""value"": 942900.0}]",26.99,2398.5,$500M-$3B,26.959999084472656,,,,False,29.850000381469727,-9.6,True,False,29.15999984741211,-3.57,-8.02,-1.17,8.26,12.52,24.14,2020-12-02,2020-12-07,2020-12-28,2021-01-25,2021-02-23,2021-05-24,-0.8027,2.175,7.8748,16.863,20.6552,20.6859,-2.7673,-10.195,-9.0448,-8.603,-8.1352,3.4541,False,
LIXT,"Lixte Biotechnology Holdings, Inc.",2020-11-30,2020-11-30,2020-11-30,550231,4,4,,"[{""name"": ""Yen Yun"", ""role"": ""Dir"", ""date"": ""2020-11-30"", ""price"": 4.75, ""value"": 250002.0}, {""name"": ""Palmedo Philip F"", ""role"": ""Dir"", ""date"": ""2020-11-30"", ""price"": 4.75, ""value"": 100002.0}, {""name"": ""Forman Stephen J."", ""role"": ""Dir"", ""date"": ""2020-11-30"", ""price"": 4.75, ""value"": 100002.0}, {""name"": ""Kovach John S"", ""role"": ""Pres, CEO, 10%"", ""date"": ""2020-11-30"", ""price"": 4.75, ""value"": 100225.0}]",4.75,469.0,$200M-$500M,37.900001525878906,72.0,36.5,-47.4,True,58.79999923706055,-91.9,True,False,37.20000076293945,-1.88,-3.49,-16.94,-18.01,20.43,-23.66,2020-12-07,2020-12-10,2020-12-30,2021-01-29,2021-03-01,2021-06-01,3.1089,4.6743,7.8396,12.8634,24.1245,25.4526,-4.9889,-8.1643,-24.7796,-30.8734,-3.6945,-49.1126,False,
ORGO,Organogenesis Holdings Inc.,2020-12-02,2020-11-17,2020-12-02,5757969,3,3,,"[{""name"": ""Mackie Wayne D"", ""role"": ""Dir"", ""date"": ""2020-11-17"", ""price"": 3.25, ""value"": 138860.0}, {""name"": ""Nussdorf Glenn H"", ""role"": ""Dir, 10%"", ""date"": ""2020-11-17"", ""price"": 3.25, ""value"": 2707747.0}, {""name"": ""Ades Alan A."", ""role"": ""Dir, 10%"", ""date"": ""2020-11-17"", ""price"": 3.25, ""value"": 2707747.0}, {""name"": ""Mackie Wayne D"", ""role"": ""Dir"", ""date"": ""2020-12-02"", ""price"": 5.26, ""value"": 203615.0}]",3.29,674.3,$500M-$3B,5.28000020980835,5.309999942779541,2.859999895095825,-0.6,False,4.340000152587891,-24.2,True,False,5.25,-8.19,-2.86,49.33,111.62,204.86,245.71,2020-12-09,2020-12-14,2021-01-04,2021-02-01,2021-03-02,2021-06-01,2.985,3.59,5.5371,14.8691,20.9286,24.6205,-11.175,-6.45,43.7929,96.7509,183.9314,221.0895,False,
MASS,908 Devices Inc.,2020-12-22,2020-12-22,2020-12-22,9280000,4,4,,"[{""name"": ""Hrusovsky E Kevin"", ""role"": ""Dir"", ""date"": ""2020-12-22"", ""price"": 20.0, ""value"": 1000000.0}, {""name"": ""Kedar Sharon"", ""role"": ""Dir"", ""date"": ""2020-12-22"", ""price"": 20.0, ""value"": 2000000.0}, {""name"": ""Barthelemy Nicolas"", ""role"": ""Dir"", ""date"": ""2020-12-22"", ""price"": 20.0, ""value"": 280000.0}, {""name"": ""Crandell Keith"", ""role"": ""Dir, 10%"", ""date"": ""2020-12-22"", ""price"": 20.0, ""value"": 6000000.0}]",20.0,1474.8,$500M-$3B,56.290000915527344,,,,False,50.5099983215332,-60.4,True,False,61.790000915527344,-9.4,-11.46,1.15,4.24,-17.01,-36.87,2020-12-29,2021-01-04,2021-01-21,2021-02-22,2021-03-22,2021-06-21,-2.3652,-2.8322,6.7239,12.3481,13.1013,14.3156,-7.0348,-8.6278,-5.5739,-8.1081,-30.1113,-51.1856,False,
RILY,"BRC Group Holdings, Inc.",2021-01-25,2021-01-13,2021-01-25,5622257,4,4,,"[{""name"": ""Riley Bryant R"", ""role"": ""COB, Co-CEO, 10%"", ""date"": ""2021-01-13"", ""price"": 46.0, ""value"": 4600000.0}, {""name"": ""Paulson Randall E"", ""role"": ""Dir"", ""date"": ""2021-01-13"", ""price"": 46.0, ""value"": 460000.0}, {""name"": ""Kelleher Thomas J /adv"", ""role"": ""Co-CEO"", ""date"": ""2021-01-13"", ""price"": 46.0, ""value"": 460000.0}, {""name"": ""Sheldon Michael Joseph"", ""role"": ""Dir"", ""date"": ""2021-01-25"", ""price"": 48.95, ""value"": 102257.0}]",46.05,890.5,$500M-$3B,33.17301940917969,33.654258728027344,9.269225120544434,-1.4,False,30.773378372192383,49.6,True,False,32.29622268676758,3.04,6.47,19.15,18.2,58.85,51.51,2021-02-01,2021-02-04,2021-02-24,2021-03-26,2021-04-26,2021-07-26,-1.2611,2.4941,6.4229,3.6216,7.1444,3.5797,4.3011,3.9759,12.7271,14.5784,51.7056,47.9303,False,
